Comment,Designator,Footprint,LCSC
100n,"C12,C7",C0603,C14663
AO3401A,"Q1,Q2,Q3",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C15127
1u,"C11,C3,C6",C0603,C15849
TP4056,U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C16581
10u,"C10,C4,C5,C8,C9",C0603,C19702
33n,"C1,C2",C0603,C21117
1K,"R12,R3,R9",R0603,C21190
150,"R6,R7",R0603,C22808
270,"R4,R5",R0603,C22966
3K3,R13,R0603_NEW,C22978
330,"R16,R19",R0603,C23138
390K,R14,R0603,C23150
5.1K,"R2,R8",R0603,C23186
100K,R15,R0603,C25803
10K,"R1,R10,R17,R18",R0603,C25804
Audio Jack PJ-324,U2,AUDIO-TH_PJ-32400,C2884956
ESP32-S3-WROOM-1(N16R2),U6,WIRELM-SMD_ESP32-S3-WROOM-1,C2913205
USB-TYPE-C-018,USB1,USB-C_SMD-TYPE-C-31-M-12,C2927038
RESET,"SW2,SW3",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
GSA4737H12-F26-6P,U3,MIC-SMD_GSA4737H12-F26-6P,C5142171
SK6812MINI-E,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LEDH_L1,LEDH_R1",SK6812MINI-E-handsolder,C5149201
22u,C13,C0603,C59461
yellow,CLED1,LED0603-RD-YELLOW,C72038
blue,LED21,LED0603-FD_BLUE,C72041
3V3,"D1,D2",LL-34_L3.5-W1.5-RD,C8056
5V6,D3,LL-34_L3.5-W1.5-RD,C8062
NCP167BMX330TBG,U1,XDFN-4,C892227
Conn_01x02,J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
Conn_02x6_Odd_Even,J3,PinHeader_2x06_P2.54mm_Vertical_SMD_handsolder,
Conn_02x8_Odd_Even,J2,PinHeader_2x08_P2.54mm_Vertical_SMD_handsolder,
1N5819WS,D4,D_SOD-323,
Battery,BT1,LiPo_Recycled_welefant,
DPDT,SW1,Switch_MSS22D18,
welefant,U5,welefant,
